file,time,word,frequency,phoneme,followingVowel,VOT,vowelDuration
Austin_high-freq,26.82888768,time,high,T,AY1,0.08503082203,0.1128445125
Austin_high-freq,29.76254101,take,high,T,EY1,0.07525097591,0.1345192018
Austin_high-freq,33.60438305,tell,high,T,EH1,0.09087137245,0.06952531237
Austin_high-freq,37.642877,told,high,T,OW1,0.06861159674,0.13827773
Austin_high-freq,41.69130967,talking,high,T,AO1,0.05948288879,0.08196355819
Austin_high-freq,45.77050737,took,high,T,UH1,0.06619418817,0.08292529306
Austin_high-freq,49.75435053,turn,high,T,ER1,0.07144637585,0.1218918455
Austin_high-freq,53.86686831,team,high,T,IY1,0.1085600358,0.1402358629
Austin_high-freq,57.77328379,tested,high,T,EH1,0.06399053148,0.08261383973
Austin_high-freq,61.79451645,teaching,high,T,IY1,0.04866482822,0.07572554311
Austin_high-freq,65.87484542,could,high,K,UH1,0.06773498286,0.1257604215
Austin_high-freq,69.72507602,kind,high,K,AY1,0.0792174908,0.199956611
Austin_high-freq,73.68339026,country,high,K,AH1,0.05942649243,0.06881965359
Austin_high-freq,77.6951235,coming,high,K,AH1,0.04952515317,0.08207171253
Austin_high-freq,81.7708577,case,high,K,EY1,0.06315665793,0.1351758072
Austin_high-freq,85.79374843,course,high,K,AO1,0.09653612158,0.104896534
Austin_high-freq,89.82885889,call,high,K,AO1,0.0759689555,0.1245590123
Austin_high-freq,93.88193594,care,high,K,EH1,0.07211297465,0.1041842586
Austin_high-freq,97.79261359,keep,high,K,IY1,0.05491869033,0.108457569
Austin_high-freq,102.1326945,kids,high,K,IH1,0.06554093829,0.1115938281
Austin_high-freq,106.164819,people,high,P,IY1,0.03568229006,0.05756742797
Austin_high-freq,109.9136044,put,high,P,UH1,0.05994624731,0.09043118064
Austin_high-freq,113.8694411,point,high,P,OY1,0.05002079718,0.1627123568
Austin_high-freq,117.8946348,part,high,P,AA1,0.04269573247,0.05709457605
Austin_high-freq,121.9878664,person,high,P,ER1,0.04187945725,0.09605685036
Austin_high-freq,125.9726283,public,high,P,AH1,0.04911028591,0.05909679953
Austin_high-freq,129.8756351,past,high,P,AE1,0.02639691491,0.1639348096
Austin_high-freq,134.1217802,pay,high,P,EY1,0.03415836084,0.2320318347
Austin_high-freq,138.0448915,power,high,P,AW1,0.03378295942,0.1267492367
Austin_high-freq,142.5818034,parents,high,P,AE1,0.05229148433,0.1226708067
Austin_low-freq,13.56514711,total,low,T,OW1,0.07460861905,0.09825305864
Austin_low-freq,16.47106291,terror,low,T,EH1,0.08683408565,0.1282480898
Austin_low-freq,20.42717977,tour,low,T,UH1,0.08552974546,0.1093900832
Austin_low-freq,24.64008544,tent,low,T,EH1,0.07193462994,0.1143286975
Austin_low-freq,28.49035156,ticket,low,T,IH1,0.057141049,0.05463957957
Austin_low-freq,32.56574486,title,low,T,AY1,0.07141996765,0.08523612517
Austin_low-freq,36.73363449,tone,low,T,OW1,0.07962710998,0.1483916065
Austin_low-freq,40.71922837,toll,low,T,OW1,0.07245674755,0.1437529869
Austin_low-freq,44.47754741,tooth,low,T,UW1,0.0703253887,0.1053749696
Austin_low-freq,48.6485514,towel,low,T,AW1,0.088983638,0.1831216165
Austin_low-freq,52.9408386,cold,low,K,OW1,0.069199238,0.149194529
Austin_low-freq,56.86482609,conflict,low,K,AA1,0.05706924159,0.07526101256
Austin_low-freq,60.85224512,color,low,K,AH1,0.07999945234,0.09722087731
Austin_low-freq,64.61345277,careful,low,K,EH1,0.07468208893,0.05260787109
Austin_low-freq,68.68418982,cash,low,K,AE1,0.07306365722,0.1285777509
Austin_low-freq,72.88828867,corner,low,K,AO1,0.06364893975,0.1008993901
Austin_low-freq,76.71299993,coach,low,K,OW1,0.07422861189,0.1440402129
Austin_low-freq,80.96131973,coin,low,K,OY1,0.07443485007,0.1607969829
Austin_low-freq,84.8640175,costume,low,K,AA1,0.06157002227,0.09469325797
Austin_low-freq,88.7242398,carve,low,K,AA1,0.05794853211,0.1181922962
Austin_low-freq,92.86233592,page,low,P,EY1,0.03958591917,0.1999990858
Austin_low-freq,96.76893494,patient,low,P,EY1,0.04256585088,0.09437984096
Austin_low-freq,100.869051,purpose,low,P,ER1,0.04304397817,0.08016117023
Austin_low-freq,104.9609003,pieces,low,P,IY1,0.1030421749,0.1210799524
Austin_low-freq,108.8662514,package,low,P,AE1,0.03045880117,0.1089431787
Austin_low-freq,112.8539913,pounds,low,P,AW1,0.03964560961,0.1580196604
Austin_low-freq,116.8472485,partner,low,P,AA1,0.03106074534,0.06237780663
Austin_low-freq,120.8878277,pie,low,P,AY1,0.04592718065,0.2282036095
Austin_low-freq,124.9354793,port,low,P,AO1,0.05242465771,0.1140078046
Austin_low-freq,129.2207772,pond,low,P,AA1,0.02823696225,0.1742623956